,city,salary,state,title,zipcode
898,Paramus,,NJ,Data Analyst - Summer Intern, 
900,Nashville,,TN,Programmer / Analyst, 
902,Brentwood,,TN,.NET/Mobile App Software Engineer,37027
911,Township of Hamilton,,NJ,Data Analyst - Transportation, 
912,Hackensack,,NJ,Software Engineer, 
913,Jersey City,,NJ,Software Developer,07302
914,Flanders,,NJ,Software Engineer 1, 
916,Bloomfield,,NJ,Software Engineer Lead - Snowflake Data Engineer, 
918,Parsippany,,NJ,Software Test Engineer, 
919,Iselin,,NJ,Associate Business Analyst, 
920,Mount Laurel,,NJ,Fieldprint Application Support Analyst, 
923,Knoxville,,TN,Medical Imaging Senior Software Engineer, 
924,Nashville,,TN,Data Scientists (Senior & Entry Level), 
926,Franklin,,TN,Business Analyst,37067
931,East Brunswick,,NJ,Principal Software Engineer, 
937,Franklin Lakes,,NJ,Machine Learning Engineer,07417
939,Englewood Cliffs,,NJ,Full Stack Software Engineer, 
941,Woodbridge,,NJ,Business Analyst,07095
945,Franklin,,TN,"Data Scientist, Sr.",37067
953,Hartsville,,TN,Part-Time Internship: Jr. Programmer Cookeville TN, 
954,Nashville,,TN,Programmer Analyst, 
956,Township of Hamilton,,NJ,Software Release Engineer, 
960,Montvale,,NJ,Software Quality Engineer,07645
962,Rockleigh,,NJ,Digital Data Analyst,07647
964,New Brunswick,,NJ,"Mgr, Software Development", 
965,Wall,,NJ,Business Intelligence Analyst, 
966,Englewood Cliffs,,NJ,MicroServices Software Engineer, 
970,Oak Ridge,,TN,Software Engineer (Java/Python), 
972,Nashville,,TN,Senior Clinical Data Analyst, 
976,Franklin,,TN,"General Applications - Franklin, TN", 
978,Monmouth Junction,,NJ,ABAP Programmer/Analyst,08852
981,Township of Brick,,NJ,Full Stack Software Engineer,08723
983,Edison,,NJ,Certified Medical Assistantxe2x80x93Data Analyst 30-40% travel, 
986,Voorhees,"$107,515 a year",NJ,Sr. Software Engineer,08043
992,Memphis,,TN,IT - Intern Full time Application Analyst (Cerner),38103
996,Nashville,"$75,000 - $95,000 a year",TN,"Full Stack Developer (Watershed) Nashville, US (3198)", 
1000,Memphis,,TN,Entry Level Software Developer, 
1001,Princeton,,NJ,Big Data Developer Intern, 
1004,Iselin,$55 - $60 an hour,NJ,Cognos/QlikView Reports Developer,08830
1009,Edison,"$55,000 - $60,000 a year",NJ,iOS Developer, 
1019,Nashville,,TN,Advisor eBusiness Software & Peripherals Producer, 
1020,Nashville,,TN,Freelance Web Developer, 
1023,Cookeville,,TN,"Manager, Engineering (Web Development)", 
1024,Elizabeth,,NJ,ERP Business Analyst, 
1032,Piscataway,,NJ,Programmer Analyst, 
1034,Nashville,"$30,000 - $80,000 a year",TN,FULL Stack Backend Developer, 
1043,Memphis,,TN,Production Business Analyst, 
1044,Chattanooga,,TN,Application Analyst,37421
1048,Holmdel,,NJ,Senior Software Engineer,07733
1049,Englewood Cliffs,,NJ,"Principal Software Engineer, Development COE", 
1052,Township of Wall,,NJ,Software Developer - Revenue Cycle Team, 
1057,Somerset,,NJ,Full-stack ASP.NET Web Developer,08873
1058,Mahwah,,NJ,Application Developer,07430
1062,Nashville,,TN,Software Developer II,37214
1066,Nashville,,TN,Consulting Business Analyst, 
1068,Knoxville,,TN,Software Engineer,37932
1069,Weehawken,,NJ,Corporate Lending IT Java Software Engineer, 
1070,Princeton,,NJ,Imaging Software Design Engineer, 
1073,Princeton,,NJ,Programmer Analyst, 
1074,Matawan,,NJ,PHP Developers, 
1075,Jersey City,$70 - $75 an hour,NJ,Sr. Java Application Engineer, 
1076,Edison,,NJ,Data Engineer, 
1093,Rockleigh,,NJ,Co-op - Summer / Fall 2019 - Software Development, 
1095,Moorestown,,NJ,Data Engineer,08057
1097,Montvale,,NJ,Data Engineer - QlikSense & Azure HDInsight, 
1100,South Plainfield,,NJ,Associate Software Developer, 
1103,Marlton,"$65,000 a year",NJ,Product Programmer Specialist, 
1104,Iselin,,NJ,Business Analyst, 
1107,Nashville,,TN,Security Software Engineer, 
1110,Tennessee,, ,"Field Support Representative-Veterinary Software- Nashville,...", 
1118,Secaucus,,NJ,Diagnostic Software Developer, 
1122,Edison,"$60,000 - $65,000 a year",NJ,Java/J2EE Developer, 
1123,Nashville,,TN,Healthcare Data Analyst, 
1124,Oak Ridge,,TN,Software Engineer I, 
1125,Hermitage,,TN,Deloitte Global- Data Scientist, 
1127,Tennessee,$25 - $35 an hour, ,Business Analyst, 
1129,Tennessee,, ,Intermediate Software Engineer (Verba), 
1130,Knoxville,"$50,000 a year",TN,Software Integration Engineer, 
1131,Weehawken,,NJ,Data Analyst, 
1132,Parsippany,,NJ,IT Business Analyst xe2x80x93 Data & Analytics, 
1134,Princeton,,NJ,Statistical Data Analyst - Open Rank,08541
1135,Englewood Cliffs,"$76,000 - $114,000 a year (Indeed est.)",NJ,Software Engineer, 
1137,Edison,,NJ,Jr. Software Engineer (Back-End), 
1138,Tinton Falls,,NJ,Software Engineer, 
1139,Mount Laurel,,NJ,Data Scientist, 
1141,Somerset,"$124,000 a year",NJ,Business Analyst, 
1142,Woodbridge,,NJ,Software Engineer,07095
1145,Franklin,,TN,.NET Developer,37067
1156,Franklin,,TN,Principal Software Engineer, 
1157,Somerset,,NJ,Software Engineer, 
1158,Picatinny Arsenal,,NJ,Software Development/Test Engineer, 
1160,Weehawken,,NJ,Software Engineer - Server Side, 
1164,Princeton,,NJ,Software Engineer - Java,08540
1166,Englewood Cliffs,,NJ,Android Software Engineer, 
1168,Basking Ridge,,NJ,Sr Software Engineer - Optum Health Technology,07920
1169,Somerville,,NJ,Full Stack Web Developer, 
1175,Maryville,,TN,Software Engineer III, 
1178,Nashville,,TN,AWS Node.JS Software Engineer 2,37214
1180,Nashville,,TN,Senior Software Engineer, 
1181,Basking Ridge,,NJ,Junior Project Manager - Application Development, 
1183,Somerset,,NJ,Business Analyst, 
1184,Piscataway,,NJ,Senior Software Development Manager,08854
1185,Whippany,,NJ,Big Data Engineer, 
1186,Princeton,,NJ,Android Software Developer, 
1190,Chattanooga,,TN,Applications Systems Analyst - Specialist, 
1191,Collierville,,TN,"Data Scientist (Senior Levels) Memphis, TN Area", 
1193,Memphis,,TN,Business Intelligence Analyst, 
1194,Franklin,,TN,Principal IT Software Engineer, 
1195,Oak Ridge,,TN,Research Scientist in Large-Scale Data Science and Learning,37831
1207,East Windsor,,NJ,Analytical Scientist, 
1209,Piscataway,,NJ,Business Analyst (Pega/Salesforce), 
1219,Knoxville,,TN,Staff Software and Systems Engineer, 
1220,Brentwood,,TN,Application Support Analyst (webMethods Trading Networks REQ..., 
1222,Franklin,,TN,"Software Engineer II, Java (AWS)",37067
1223,Memphis,,TN,Software Sales Representative- Memphis,38133
1227,New Brunswick,,NJ,Programmer/Analyst, 
1233,Monmouth Junction,,NJ,Junior Java Developer, 
1234,Clark,,NJ,Software Developer, 
1237,Oak Ridge,,TN,Research Software Engineer,37831
1246,Piscataway,,NJ,xc2xa0Mid-Level Software Developer, 
1247,Woodcliff Lake,$60 an hour,NJ,Senior Medical Data Scientist, 
1248,Woodcliff Lake,,NJ,Software Engineer 2,07677
1254,Edison,,NJ,Software Developer (10 Positions), 
1255,Newark,,NJ,Senior Software Development Engineer II, 
1257,Woodbridge,,NJ,Software Sales Executive,07095
1268,Jersey City,,NJ,Software Engineer - Finance Technologies, 
1269,Township of Warren,,NJ,"Associate Director, Software Development",07059
1272,New Jersey,, ,Senior Software Engineer, 
1277,Metuchen,,NJ,Programmer Analyst, 
1278,Nashville,,TN,Senior Software Engineer, 
1279,Nashville,,TN,Programmer / Analyst, 
1280,Nashville,,TN,Healthcare Business Analyst,37203
1284,Nashville,"$50,000 - $60,000 a year",TN,Sales & Marketing - Software,37203
1290,Knoxville,,TN,Software Engineer/Developer,37932
1297,Jersey City,,NJ,Business Analyst - Markets,07302
1301,Atlantic City,,NJ,Software Engineer, 
1305,Brentwood,,TN,Business Analyst, 
1311,Memphis,,TN,Programmer Analyst,37544
1312,Memphis,,TN,Business Analyst,38118
1317,Monmouth Junction,,NJ,System engineer xe2x80x93 BIG DATA,08852
1318,Iselin,,NJ,Senior Software Quality Analyst,08830
1319,Colts Neck,,NJ,Software Manager, 
1321,Piscataway,,NJ,Software Developer,08854
1323,New Brunswick,,NJ,"Principal Software Engineer, R&D, User Interface", 
1324,Camden,,NJ,Software Engineer,08103
1325,Nashville,,TN,Systems Developer, 
1326,Nashville,,TN,Research Engineer - Institute for Software Integrated System..., 
1328,Nashville,,TN,Senior Software Engineer,37203
1335,Princeton,,NJ,Business Intelligence Developer, 
1339,Englewood Cliffs,,NJ,Data Scientist HR Analytics, 
1345,Wayne,,NJ,Data Analyst,07470
1350,Knoxville,,TN,3D Software Developer,37920
1357,Nashville,,TN,Application Development Associate,37214
1359,Princeton,,NJ,Intern-Software Engineering, 
1360,Jersey City,,NJ,Senior Software Development Engineer, 
1361,New Brunswick,,NJ,"Lead Data Scientist, Commercial Analytics", 
1364,New Brunswick,,NJ,"Senior Data Scientist, Commercial Analytics", 
1368,Newark,,NJ,Web Development Engineer II (front-end), 
1371,Franklin,$20 - $37 an hour,TN,Business Analyst,37067
1372,Nashville,$35 - $40 an hour,TN,"Software Engineer, Java", 
1374,Bristol,,TN,Analytical Development Scientist (Pharma),37620
1375,Memphis,,TN,Data Scientist, 
1377,Memphis,,TN,Business Analyst, 
1378,Chattanooga,,TN,Software Developer,37402
1379,Nashville,,TN,Software Development Summer Internship - Technology & Operat..., 
1381,Nashville,,TN,Software Developer - Information Technology, 
1382,Nashville,"$75,000 - $120,000 a year",TN,"Software Engineers-Junior, Mid, Senior", 
1383,Camden,"$66,000 - $95,000 a year (Indeed est.)",NJ,DATA ANALYTICS DEVELOPER - Information Technology,08103
1384,New Jersey,, ,Programmer Analyst, 
1385,Morristown,,NJ,Data Analyst, 
1386,Weehawken,,NJ,Data Analyst, 
1388,Princeton,,NJ,Computational Data Scientist,08540
1389,Lakewood,,NJ,Software Engineer I, 
1391,Newark,,NJ,Web Development Engineer, 
1392,Jersey City,,NJ,Quantitative Data Scientist,07302
1393,South Plainfield,,NJ,SQL Data Analyst - Contract, 
1394,Edison,,NJ,Data Engineer, 
1399,Sevierville,"$45,000 - $80,000 a year",TN,Front End Web Developer, 
1408,Township of Warren,"$100,000 a year",NJ,C# .Net Developer, 
1409,Edison,,NJ,"Business Analyst, VMO",08837
1410,Peapack and Gladstone,,NJ,Big-Data Engineer- 033-19JB, 
1412,Teterboro,,NJ,A/R Billing Data Analyst, 
1413,Woodbridge,,NJ,Senior Software Engineer,07095
1414,Weehawken,,NJ,Big Data Engineer xe2x80x93 Evidence Labs Technology, 
1426,La Vergne,,TN,Application/Hardware Support Analyst,37086
1427,Oak Ridge,,TN,Computational Scientist in Research Software Engineering,37831
1429,Memphis,,TN,Business Analyst, 
1431,Nashville,,TN,Advanced Product Solutions Developer, 
1434,Fort Lee,,NJ,"Data Scientist - Fort Lee, NJ or Raleigh, NC",07024
1435,Trenton,$45 an hour,NJ,Midlevel .Net Developer, 
1438,Hackensack,,NJ,Applications Analyst V, 
1439,Sayreville,,NJ,Software Developer, 
1440,Egg Harbor Township,,NJ,Applications System Analyst I,08234
1441,Egg Harbor Township,,NJ,Sr. Software Engineer, 
1450,Nashville,,TN,Business Intelligence Analyst II, 
1452,Mount Laurel,,NJ,Business Analyst II,08054
1453,Paramus,,NJ,RPG Programmer,07652
1457,Egg Harbor Township,,NJ,Computer Scientist- junior level, 
1459,Weehawken,,NJ,Java Full Stack Software Engineer, 
1468,Franklin,,TN,Software Engineering Manager,37068
1472,Knoxville,,TN,Software Developer,37932
1475,Nashville,,TN,Senior Data Analyst (Clinical Excellence), 
1476,Brentwood,,TN,Clinical Applications System Analyst, 
1481,Princeton,,NJ,Big Data Sr Software Engineer,08540
1483,Florham Park,,NJ,Quantitative Software Engineer,07932
1484,Peapack,"$70,000 - $100,000 a year",NJ,Job available for a Business Analyst (Pharma), 
1497,Jersey City,,NJ,Software Developer, 
1499,Belleville,"$75,000 - $90,000 a year",NJ,Senior Software Engineer, 
1500,Edison,,NJ,Software Developer / Engineer (Java):, 
1507,Holmdel,,NJ,Senior Software Engineer,07733
1524,Egg Harbor Township,,NJ,Computer Scientist, 
1525,Rockleigh,"$150,000 - $175,000 a year",NJ,Machine Learning Engineer(Edge-based Learning), 
1528,Cranbury,,NJ,Scientist/Principle Scientist in Analytical Development,08512
1532,Plainsboro,,NJ,Business Analyst, 
1535,La Vergne,,TN,"Software Engineer, Team Lead (Qlik)", 
1536,Nashville,,TN,Staff Engineer I - Institute for Software Integrated Systems, 
1541,Nashville,,TN,Business Analyst, 
1542,Brentwood,,TN,Associate Developer,37027
1549,Princeton,,NJ,Junior Developer Intern, 
1553,New Jersey,, ,Operations Consulting Business Analyst, 
1558,Nashville,,TN,Business Analyst, 
1562,Nashville,,TN,Full Stack Developer, 
1566,Memphis,,TN,Senior Software Engineer,37544
1573,Newark,,NJ,"Data Scientist, SEO Analytics Specialist", 
1574,Summit,,NJ,Senior Data Analyst - Pharmaceutical Sales Data, 
1576,Elmwood Park,,NJ,Revenue Cycle Software Applications Analyst,07407
1577,Hoboken,,NJ,"Backend Software Engineer, Embedded Systems", 
1578,Edison,,NJ,Business Analyst- Pharma, 
1587,Memphis,,TN,QMS Business Analyst,38103
1591,Somerset,,NJ,Statistical Programmer,08875
1592,Piscataway,,NJ,Full Stack Developer - Django Python,08854
1594,Bloomfield,,NJ,Account Management Data Analyst, 
1597,Branchville,,NJ,BSU Associate Business Analyst,07826
1598,Township of Warren,"$85,000 - $128,000 a year (Indeed est.)",NJ,Data Analytics and Developer,07059
1600,Oceanport,,NJ,Business Analyst, 
1602,Township of Warren,,NJ,Software Engineer - Tech Solutions,07059
1605,Princeton,,NJ,Senior Software Engineer (FEZ001), 
1606,Nashville,,TN,Developer II, 
1607,Knoxville,,TN,Mid-Level Systems/Software Engineer, 
1617,Oak Ridge,,TN,Drupal Application Development, 
1619,Woodbridge,,NJ,Senior Data Engineer,07095
1625,Township of Hamilton,,NJ,Entry-Mid Level Web Developer,08690
1627,Atlantic City,,NJ,Software Engineer, 
1630,Brentwood,,TN,Data Engineer, 
1631,Memphis,,TN,Data Analyst, 
1632,Memphis,,TN,Quality Data Analyst/Breast,38120
1633,Nashville,,TN,Software Engineer, 
1634,Nashville,,TN,Data Scientist II, 
1635,Memphis,"$100,000 - $115,000 a year",TN,"Full Time-JDE Business Analyst Needed, Memphis, TN area-110-...", 
1636,Newark,,NJ,Data Analyst (Infection Control),07112
1638,Jersey City,,NJ,Software Developer - Deployment Services, 
1639,Jersey City,,NJ,Financial Data Analyst, 
1640,Secaucus,,NJ,Jr. Software Engineer--Python and Perl Scripting, 
1646,Nashville,,TN,Senior Software Engineer (PHP/Vue.js),37210
1654,Woodbridge,,NJ,Software Developer - Team Lead,07095
1657,Newark,,NJ,Programmer Analyst (Data Fabric Developer),07102
1659,Princeton,,NJ,"Software Developer, Research (Open Rank)",08541
1660,Newark,,NJ,Software Developer Engineer III, 
1661,Edison,,NJ,Business Analyst,08817
1663,North Brunswick,,NJ,Business Analyst, 
1667,Nashville,,TN,Developer, 
1669,Nashville,,TN,Business Analyst, 
1671,Tullahoma,"$5,000 - $6,000 a month",TN,Contract Computer Programmer,37388
1680,Morristown,,NJ,Business Analyst, 
1683,Somerset,,NJ,Informatica Developer (Software Developer), 
1685,Fort Lee,,NJ,Data Analyst / Project Lead,07024
1690,Kingsport,,TN,Software Developer II, 
1695,Nashville,,TN,Business Analyst, 
1701,Township of Hamilton,,NJ,Software Development Team Lead, 
1705,Edison,,NJ,"Software Developer/Engineer (C#, .Net):", 
1707,Mount Laurel,,NJ,"Software Developers, Applications", 
1712,Mount Laurel,,NJ,Analyst I - Business Intelligence,08054
1720,Johnson City,,TN,Software System Test Engineer, 
1721,Chattanooga,,TN,Applications Developer Analyst - Java/JavaScript, 
1723,Edison,,NJ,Business Analyst with BPM experience, 
1727,New Brunswick,,NJ,Software Engineer 2, 
1733,Township of Warren,"$80,000 - $90,000 a year",NJ,Intermediate/Senior Software Developer, 
1735,Nashville,,TN,Director Software Engineering,37203
1736,Nashville,"$90,000 - $110,000 a year",TN,Senior Software Developer, 
1748,Jersey City,,NJ,Software Engineer II,07310
1749,Edison,,NJ,Sr. Software Engineer, 
1751,Egg Harbor Township,,NJ,Intermediate Level Software Engineer, 
1752,Middletown,,NJ,Senior-Software Engineer (DevSecOps),07748
1756,Township of Hamilton,,NJ,Programmer Analyst, 
1758,Brentwood,,TN,Software Developer,37027
1760,Nashville,,TN,Software Engineer, 
1763,Memphis,,TN,IT Business Analyst, 
1769,Princeton,,NJ,Data Scientist/Senior Data Scientist, 
1770,Freehold,,NJ,IT Business Analyst, 
1774,Weehawken,,NJ,Business Analyst, 
1785,Collierville,,TN,Software Developer III - PeopleSoft, 
1787,Oak Ridge,,TN,Senior Software Engineer, 
1797,Bridgewater,,NJ,Business Analyst, 
1798,Moorestown,,NJ,Software Development Analyst Senior,08057
1800,Nashville,,TN,IT Project Manager/Data Scientist, 
1806,Nashville,,TN,Application Development Sr Analyst,37214
1807,Memphis,,TN,Big Data Engineer,38103
1809,Franklin Lakes,,NJ,"Intern - Software Engineering (Franklin Lakes, NJ)",07417
1812,Princeton,,NJ,Web Developer,08540
1813,Piscataway,,NJ,Senior Software Engineer, 
1815,East Brunswick,,NJ,Programmer Analyst, 
1820,Brentwood,,TN,"Manager, Business Intelligence and Analytics", 
1831,Hoboken,,NJ,Full Stack Software Engineer, 
1836,Mount Laurel,,NJ,Software Engineer,08054
1840,Piney Flats,,TN,API Developer,37686
1843,Nashville,,TN,Senior Software Engineer, 
1848,Basking Ridge,,NJ,Senior Software Engineer - Multiple locations,07920
1850,South Plainfield,,NJ,Software Developer,07080
1854,Piscataway,,NJ,Senior Clinical Data Analyst, 
1855,Summit,,NJ,"Scientist I, Analytical Development",07901
1856,Iselin,,NJ,Programmer Analyst, 
1858,Franklin,,TN,Software Engineer I,37067
1860,Tennessee,"$60,000 - $100,000 a year", ,Software Developer, 
1862,Franklin,"$70,000 - $100,000 a year",TN,Inside Software Sales Representative, 
1863,Memphis,,TN,Software & Systems Analyst,37544
1864,Knoxville,,TN,Data Analyst,37919
1866,Nashville,,TN,EMV Software Engineer, 
1867,Chattanooga,,TN,Software Developer - Campus Recruiting,37402
1868,New Jersey,, ,Data Analyst and Reporting Manager, 
1869,Piscataway,,NJ,Application and Software Development Internship,08854
1870,East Windsor,,NJ,"Data Analyst @ SpectraMedix, NJ", 
1871,Princeton,,NJ,Junior Numerical Algorithm Software Engineer,08540
1872,Atlantic City,,NJ,Jr. Software Engineer (Java) - FAA, 
1874,Englewood Cliffs,,NJ,"Backend Software Engineer, Development COE", 
1875,Florham Park,,NJ,Data Analyst / Client Engagement, 
1876,Edison,,NJ,Software Developer Analyst, 
1877,Parsippany,,NJ,Supply Chain Data Scientist / Analyst, 
1879,Nashville,,TN,Senior Software Engineer, 
1881,Chattanooga,,TN,Pharmacy Billing/Business Analyst,37402
1883,Nashville,,TN,Android Developer, 
1886,Memphis,,TN,Senior Quality Software Engineer,38118
1890,Nashville,,TN,Programmer Analyst - OMS/ESB,37209
1898,Jersey City,,NJ,Business Analyst Flipt, 
1899,Iselin,,NJ,Software Developer, 
1902,Nashville,,TN,IT Business Analyst, 
1905,Knoxville,,TN,Software Technical Support Representative, 
1909,Nashville,,TN,Programmer Analyst - PL/SQL,37209
1916,Secaucus,,NJ,"Engineer II, Software Engineering", 
1917,Princeton,,NJ,Software Full-Stack Developer Internship,08540
1918,Iselin,,NJ,Senior Data Analyst,08830
1920,Nashville,,TN,Business Intelligence Engineer, 
1926,Tennessee,, ,Java Developer, 
1928,Franklin,,TN,Senior Data Engineer, 
1932,Newark,,NJ,Software Developer, 
1935,Princeton,,NJ,Software Developer, 
1937,Tinton Falls,,NJ,Business Analyst, 
1940,Florham Park,,NJ,Chief Data Scientist,07932
1941,Jersey City,,NJ,ERP Business Analyst, 
1945,Franklin,,TN,Director Data Engineering,37068
1948,Nashville,,TN,"Operations Master Data Analyst, Supply Chain", 
1950,Nashville,"$60,000 - $80,000 a year",TN,Web Developer,37214
1954,Cranbury,,NJ,Business Analyst,08512
1958,East Hanover,,NJ,2019 - Summer Intern - NBS Information Technology, 
1960,Lumberton,,NJ,Experienced Software Developer,08048
1965,Somerset,,NJ,Data Analyst, 
1966,Englewood,,NJ,Web Developer, 
1976,Oak Ridge,,TN,Embedded Software Engineer for Unmanned Systems,37831
1978,Iselin,,NJ,Software Developer,08830
1979,New Brunswick,,NJ,"Senior Data Science Analyst, Commercial Analytics", 
1980,Holmdel,,NJ,Senior Software Engineer,07733
1983,Fairfield,,NJ,Software Developers, 
1985,Egg Harbor Township,,NJ,Computer Scientist - mid level, 
1987,Monmouth Junction,,NJ,Senior Software Engineer,08852
1988,Mahwah,,NJ,Senior Software Development Manager - Firmware/Applications,07430
1990,Brentwood,,TN,Business Intelligence Quality Assurance Analyst,37027
1993,Nashville,"$80,000 a year",TN,Software Product Marketing Manager, 
1996,Caryville,,TN,.NET Developer, 
1998,Nashville,,TN,Sr. Digital Data Analyst, 
2002,Montvale,,NJ,Business Intelligence Analyst Intern Summer 2019,07645
2005,Princeton,,NJ,Software Engineer Java & Web Services,08540
2009,Newark,,NJ,Business Analyst, 
2012,Basking Ridge,,NJ,Senior Java Software Engineer with Mainframe Experience - Ba...,07920
2013,Monmouth Junction,,NJ,SAS Programmer/Analyst, 
2016,Nashville,,TN,Software Engineer 3: Full Stack,37214
2022,Bartlett,,TN,Senior Software Engineer, 
2023,Cleveland,,TN,SOA IIB Service Developer, 
2027,Crossville,,TN,Full Stack Developer, 
2029,Chattanooga,,TN,Applications Data Lead - eChart/Epic EMR Team - Full-time, 
2031,Knoxville,,TN,Theatre Application Specialist II, 
2034,Milford,,NJ,Business Analyst, 
2035,Jersey City,,NJ,Product Business Analyst, 
2037,Princeton,,NJ,Software Developer, 
2038,Roseland,,NJ,"Associate, Systems Developer",07068
2039,Basking Ridge,,NJ,Software Engineer,07920
2040,Somerset,,NJ,Senior Application Developer,08873
2045,Nashville,,TN,PL/SQL Developer, 
2050,Millington,,TN,Business Analyst,38055
2052,United States,, ,Sr. Software Development Engineer in Test(SDET), 
2053,Nashville,,TN,Java and Angular Programmer Analyst(Location: Nashville TN), 
2054,Brentwood,,TN,Sr. Software Engineer,37027
2056,Brentwood,,TN,"Analyst I, Store Systems Application", 
2064,Piscataway,"$55,000 - $60,000 a year",NJ,MEAN Stack Web Developer,08854
2065,Bridgewater,,NJ,IT Application Architect Analyst III,08807
2066,Brentwood,,TN,Provider Data Analyst,37027
2067,Brentwood,,TN,IT Data Analyst,37027
2068,Nashville,,TN,Software Developer, 
2070,Brentwood,,TN,Healthcare Data Engineer,37027
2071,Franklin,,TN,Software Engineer I, 
2072,Nashville,,TN,Senior Software Engineer, 
2073,Nashville,,TN,Domain Specialist - Data Analyst, 
2075,Franklin Lakes,,NJ,"Intern, SQL Reporting and Analytics (Franklin Lakes, NJ)",07417
2076,Parsippany,,NJ,Senior Data Engineer - Data Analytics,07054
2078,Moorestown,,NJ,"Software Engineer, Associate", 
2081,Princeton,"$100,000 - $140,000 a year",NJ,Front End Software Engineer - Angular,08540
2082,Montclair,,NJ,Software Engineer In Test, 
2083,Princeton,,NJ,"Software Engineer, LiDAR", 
2084,Princeton,,NJ,Software Engineer,08540
2086,Nashville,,TN,Interactive Developer, 
2091,Tennessee,, ,"Java Application Developer/App Sys Analyst- Omaha, NE or Cha...", 
2092,Memphis,,TN,IT Software Development Advisor Sr,38120
2093,Nashville,,TN,Business Analyst, 
2101,Nashville,,TN,Director of Software Engineering, 
2105,Hermitage,,TN,.Net Sr. Software Engineer, 
2108,Memphis,,TN,Business Intelligence Analyst, 
2112,Nashville,,TN,PHP Developer, 
2115,Franklin,,TN,Business Intelligence Engineer, 
2118,La Vergne,,TN,"Senior Software Engineer, JAVA", 
2121,Knoxville,,TN,Software Technical Support Escalation Rep, 
2135,Memphis,,TN,Programmer Analyst II (DevOps), 
2136,Cool Springs,,TN,SQL Analyst Developer, 
2137,Memphis,,TN,Business Intelligence Solutions Engineer,38197
2138,Nashville,"$65,000 - $100,000 a year",TN,Sr Software Programmer, 
2141,Memphis,,TN,Data Scientist,38108
2142,Knoxville,,TN,Sr. Software QA Engineer,37923
2143,Jackson,,TN,Junior Software Developer,38301
2144,Memphis,,TN,IT Software Development Specialist, 
2146,Nashville,,TN,Senior Big Data Engineer, 
2147,Nashville,,TN,Business Analyst II, 
2149,Brentwood,,TN,Software Engineering Manager,37027
2151,Nashville,,TN,Senior Ruby Developer, 
2154,Nashville,,TN,Senior Data Analyst (Health Information Exchange), 
2155,Nashville,,TN,Business Analyst II, 
2156,Franklin,,TN,Senior Software Test Engineer,37067
2162,Knoxville,,TN,Software Support Consultant, 
2166,Maryville,,TN,Data Analyst II, 
2168,Nashville,,TN,Software Development Manager, 
2174,Princeton,,NJ,Data Engineer Intern, 
2176,Egg Harbor Township,,NJ,Associate Software Development Analyst, 
2177,Eatontown,,NJ,Software Developer,07724
2179,Eatontown,,NJ,Software Engineer, 
2180,Newark,,NJ,Data Analyst II Hemophilia Center (Full Time Days),07112
2182,South Plainfield,,NJ,Software Test Engineer,07080
2183,New Jersey,, ,Front-End Software Engineer, 
2184,New Jersey,, ,Software Engineer, 
2186,Avenel,,NJ,Principal Data Scientist,
2190,Avenel,,NJ,Senior Data Scientist - Machine Learning Engineer,
2191,Hermitage,,TN,UI/UX Business Analyst,
2196,Oak Ridge,,TN,Research Scientist in Discrete Simulation and AI,
2197,Avenel,,NJ,Senior Data Scientist,
2207,Parsippany,,NJ,Supply Chain Data Scientist / Analyst,
2209,Bloomfield,,NJ,Data Scientist - Richmond Virginia area - must be local or be willing to relocate,
2210,Jersey City,,NJ,Quantitative Data Scientist,
2215,Princeton,,NJ,Data Scientist/ Machine Learning Research Professional,
2216,Cranbury,,NJ,Scientist/Principle Scientist in Analytical Development,
2217,Basking Ridge,,NJ,Machine Learning Research Scientist- Internship,
2219,Adams,,TN,"Senior Data Scientist, Sales",
2221,Avenel,,NJ,"Data Scientist, Office of the CTO, Data & AI Domain, Microsoft Services",
2228,Avenel,,NJ,Software Engineer (Connect),
2229,Knoxville,,TN,Senior Data Scientist,
2230,Bristol,,TN,Analytical Development Scientist (Pharma),
2239,Avenel,,NJ,Software Developer,
2242,Adams,,TN,Software Engineer (rstudio.cloud),
2243,Adams,,TN,Lead Data Scientist,
2244,Parsippany,,NJ,Senior Scientist I- Data Science,
2246,Adams,,TN,Lead Robotics Software Engineer,
2249,Kenilworth,,NJ,"Associate Director, Data Science and Outcomes Research",
2251,Piscataway,,NJ,Senior Data Analyst,
2253,Adams,,TN,Software Developer Intern,
2255,Adams,,TN,Data Scientist Team Lead,
2257,Memphis,,TN,BI Analyst (Data Modeling),
2258,Nashville,,TN,Data Scientists (Senior & Entry Level),
2264,Avenel,,NJ,Software Developer,
2267,Memphis,,TN,Genomic Data Engineer,
2268,Avenel,,NJ,Data Scientist - Healthcare - Senior Principal,
2272,Murray Hill,,NJ,Bell Labs Summer Intern in Data Science,
2273,Murray Hill,,NJ,BL Labs Summer Intern/Data Science & ML,
2275,Basking Ridge,,NJ,Data Scientist - Customer Experience,
2277,Bloomfield,,NJ,Data Scientist - New York/New Jersey area,
2278,Adams,,TN,AI researcher,
2280,Avenel,,NJ,Data Scientist - Financial Services Lab,
2281,Avenel,,NJ,Chief Data Scientist,
2282,Adams,,TN,Applications Scientist,
2283,Adams,,TN,Computer Scientist,
2285,Wayne,,NJ,Associate Data Scientist,
2287,Adams,,TN,Data Scientist - Principal - National,
