,Hr_Mean_Wage,Jobs_1000,Occupation,State,Tot_Emp,Yr_Mean_Wage
12961,24.55,3.217,Computer User Support Specialists,Maine,1930,51050.0
12962,30.06,1.294,Computer Network Support Specialists,Maine,780,62530.0
12963,37.04,1.373,"Computer Occupations, All Other",Maine,820,77050.0
12975,49.17,0.313,"Electronics Engineers, Except Computer",Maine,190,102270.0
13041,0.0,0.14,"Computer Science Teachers, Postsecondary",Maine,80,83400.0
13306,16.82,0.318,Computer Operators,Maine,190,34980.0
13313,16.18,0.196,"Office Machine Operators, Except Computer",Maine,120,33660.0
13362,19.98,0.904,"Computer, Automated Teller, and Office Machine Repairers",Maine,540,41570.0
13413,22.45,1.569,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Maine,940,46700.0
13414,22.63,0.138,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Maine,80,47080.0
13512,72.38,3.723,Computer and Information Systems Managers,Maryland,9920,150540.0
13565,52.74,0.999,Computer and Information Research Scientists,Maryland,2660,109700.0
13566,46.97,6.463,Computer Systems Analysts,Maryland,17220,97700.0
13568,42.83,1.769,Computer Programmers,Maryland,4710,89090.0
13569,53.94,4.772,"Software Developers, Applications",Maryland,12710,112190.0
13570,56.89,5.643,"Software Developers, Systems Software",Maryland,15030,118330.0
13571,35.43,1.304,Web Developers,Maryland,3470,73680.0
13573,51.56,5.78,Network and Computer Systems Administrators,Maryland,15400,107240.0
13574,52.43,1.964,Computer Network Architects,Maryland,5230,109050.0
13575,26.84,3.782,Computer User Support Specialists,Maryland,10080,55820.0
13576,34.65,3.119,Computer Network Support Specialists,Maryland,8310,72070.0
13577,52.7,5.195,"Computer Occupations, All Other",Maryland,13840,109620.0
13591,59.25,1.495,Computer Hardware Engineers,Maryland,3980,123230.0
13593,59.04,1.77,"Electronics Engineers, Except Computer",Maryland,4720,122810.0
13678,0.0,0.294,"Computer Science Teachers, Postsecondary",Maryland,780,108450.0
13980,22.08,0.247,Computer Operators,Maryland,660,45920.0
13987,17.09,0.619,"Office Machine Operators, Except Computer",Maryland,1650,35550.0
14054,20.5,0.642,"Computer, Automated Teller, and Office Machine Repairers",Maryland,1710,42630.0
14112,20.77,0.396,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Maryland,1060,43200.0
14113,26.93,0.101,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Maryland,270,56020.0
14231,73.96,4.622,Computer and Information Systems Managers,Massachusetts,16310,153830.0
14285,63.28,0.281,Computer and Information Research Scientists,Massachusetts,990,131620.0
14286,44.72,4.219,Computer Systems Analysts,Massachusetts,14880,93030.0
14288,45.36,1.459,Computer Programmers,Massachusetts,5150,94340.0
14289,52.25,8.103,"Software Developers, Applications",Massachusetts,28590,108680.0
14290,55.24,7.529,"Software Developers, Systems Software",Massachusetts,26560,114900.0
14291,39.31,1.188,Web Developers,Massachusetts,4190,81770.0
14293,43.44,2.639,Network and Computer Systems Administrators,Massachusetts,9310,90340.0
14294,56.03,1.583,Computer Network Architects,Massachusetts,5590,116540.0
14295,29.54,5.696,Computer User Support Specialists,Massachusetts,20090,61450.0
14296,39.24,0.919,Computer Network Support Specialists,Massachusetts,3240,81620.0
14297,45.15,2.618,"Computer Occupations, All Other",Massachusetts,9240,93900.0
14310,56.72,0.726,Computer Hardware Engineers,Massachusetts,2560,117980.0
14312,55.8,1.052,"Electronics Engineers, Except Computer",Massachusetts,3710,116070.0
14396,0.0,0.301,"Computer Science Teachers, Postsecondary",Massachusetts,1060,105850.0
14706,24.85,0.393,Computer Operators,Massachusetts,1390,51690.0
14713,18.68,0.357,"Office Machine Operators, Except Computer",Massachusetts,1260,38860.0
14775,22.73,0.488,"Computer, Automated Teller, and Office Machine Repairers",Massachusetts,1720,47270.0
14832,24.06,0.733,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Massachusetts,2590,50040.0
14833,29.32,0.119,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Massachusetts,420,60980.0
14964,61.98,2.186,Computer and Information Systems Managers,Michigan,9350,128910.0
15018,48.04,0.047,Computer and Information Research Scientists,Michigan,200,99930.0
15019,40.78,4.037,Computer Systems Analysts,Michigan,17260,84820.0
15021,35.42,0.848,Computer Programmers,Michigan,3630,73680.0
15022,43.96,6.066,"Software Developers, Applications",Michigan,25940,91430.0
15023,43.09,2.594,"Software Developers, Systems Software",Michigan,11090,89630.0
15024,31.03,0.636,Web Developers,Michigan,2720,64540.0
15026,37.2,1.93,Network and Computer Systems Administrators,Michigan,8250,77380.0
15027,48.07,0.766,Computer Network Architects,Michigan,3270,99980.0
15028,24.42,4.255,Computer User Support Specialists,Michigan,18190,50790.0
15029,28.05,0.899,Computer Network Support Specialists,Michigan,3840,58340.0
15030,36.53,2.286,"Computer Occupations, All Other",Michigan,9780,75990.0
15042,0.0,0.373,Computer Hardware Engineers,Michigan,1590,0.0
15044,39.53,0.84,"Electronics Engineers, Except Computer",Michigan,3590,82220.0
15130,0.0,0.204,"Computer Science Teachers, Postsecondary",Michigan,870,91860.0
15443,20.69,0.16,Computer Operators,Michigan,680,43030.0
15450,15.79,0.275,"Office Machine Operators, Except Computer",Michigan,1180,32830.0
15517,18.47,0.444,"Computer, Automated Teller, and Office Machine Repairers",Michigan,1900,38410.0
15583,19.18,2.033,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Michigan,8690,39890.0
15584,24.99,0.492,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Michigan,2100,51990.0
15715,67.75,3.363,Computer and Information Systems Managers,Minnesota,9550,140920.0
15770,56.35,0.084,Computer and Information Research Scientists,Minnesota,240,117200.0
15771,43.86,5.861,Computer Systems Analysts,Minnesota,16630,91230.0
15773,43.0,1.744,Computer Programmers,Minnesota,4950,89440.0
15774,44.85,6.105,"Software Developers, Applications",Minnesota,17330,93280.0
15775,53.53,2.885,"Software Developers, Systems Software",Minnesota,8190,111340.0
15776,36.52,0.998,Web Developers,Minnesota,2830,75970.0
15778,41.13,3.009,Network and Computer Systems Administrators,Minnesota,8540,85560.0
15779,51.85,1.511,Computer Network Architects,Minnesota,4290,107860.0
15780,26.69,4.314,Computer User Support Specialists,Minnesota,12240,55520.0
15781,28.94,1.17,Computer Network Support Specialists,Minnesota,3320,60200.0
15782,37.29,2.121,"Computer Occupations, All Other",Minnesota,6020,77570.0
15795,53.97,0.493,Computer Hardware Engineers,Minnesota,1400,112250.0
15797,47.83,0.545,"Electronics Engineers, Except Computer",Minnesota,1550,99490.0
15879,0.0,0.14,"Computer Science Teachers, Postsecondary",Minnesota,400,96020.0
16189,23.73,0.148,Computer Operators,Minnesota,420,49370.0
16196,16.46,0.536,"Office Machine Operators, Except Computer",Minnesota,1520,34230.0
16256,18.6,0.79,"Computer, Automated Teller, and Office Machine Repairers",Minnesota,2240,38680.0
16316,21.81,1.476,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Minnesota,4190,45360.0
16317,28.53,0.239,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Minnesota,680,59330.0
16448,47.24,1.029,Computer and Information Systems Managers,Mississippi,1150,98250.0
16500,46.13,0.214,Computer and Information Research Scientists,Mississippi,240,95960.0
16501,31.75,1.662,Computer Systems Analysts,Mississippi,1860,66040.0
16503,35.51,0.695,Computer Programmers,Mississippi,780,73860.0
16504,45.42,0.659,"Software Developers, Applications",Mississippi,740,94460.0
16505,41.32,0.862,"Software Developers, Systems Software",Mississippi,960,85940.0
16506,29.72,0.333,Web Developers,Mississippi,370,61810.0
16508,34.92,1.115,Network and Computer Systems Administrators,Mississippi,1250,72630.0
16509,35.27,0.61,Computer Network Architects,Mississippi,680,73370.0
16510,21.89,2.125,Computer User Support Specialists,Mississippi,2380,45520.0
16511,25.15,0.786,Computer Network Support Specialists,Mississippi,880,52310.0
16512,38.57,0.537,"Computer Occupations, All Other",Mississippi,600,80220.0
16521,41.21,0.206,Computer Hardware Engineers,Mississippi,230,85730.0
16523,42.53,0.494,"Electronics Engineers, Except Computer",Mississippi,550,88470.0
16596,0.0,0.15,"Computer Science Teachers, Postsecondary",Mississippi,170,80880.0
16879,18.32,0.348,Computer Operators,Mississippi,390,38110.0
16886,14.74,0.201,"Office Machine Operators, Except Computer",Mississippi,220,30670.0
16941,17.11,0.547,"Computer, Automated Teller, and Office Machine Repairers",Mississippi,610,35590.0
16995,19.18,0.424,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Mississippi,470,39880.0
16996,20.99,0.083,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Mississippi,90,43650.0
17112,62.62,2.229,Computer and Information Systems Managers,Missouri,6220,130240.0
17167,47.6,0.085,Computer and Information Research Scientists,Missouri,240,99010.0
17168,42.36,4.038,Computer Systems Analysts,Missouri,11260,88110.0
17170,38.47,2.404,Computer Programmers,Missouri,6710,80030.0
17171,46.2,5.073,"Software Developers, Applications",Missouri,14150,96100.0
17172,46.25,1.978,"Software Developers, Systems Software",Missouri,5520,96200.0
17173,28.47,0.708,Web Developers,Missouri,1970,59210.0
17175,38.6,3.018,Network and Computer Systems Administrators,Missouri,8420,80280.0
17176,46.69,1.002,Computer Network Architects,Missouri,2800,97120.0
17177,22.39,4.796,Computer User Support Specialists,Missouri,13370,46570.0
17178,26.49,2.12,Computer Network Support Specialists,Missouri,5910,55100.0
17179,38.97,2.245,"Computer Occupations, All Other",Missouri,6260,81060.0
17190,50.7,0.094,Computer Hardware Engineers,Missouri,260,105450.0
17192,49.04,0.737,"Electronics Engineers, Except Computer",Missouri,2060,102010.0
17279,0.0,0.192,"Computer Science Teachers, Postsecondary",Missouri,540,85810.0
17594,19.41,0.267,Computer Operators,Missouri,740,40370.0
17601,15.17,0.456,"Office Machine Operators, Except Computer",Missouri,1270,31540.0
17668,18.13,0.639,"Computer, Automated Teller, and Office Machine Repairers",Missouri,1780,37700.0
17730,19.13,1.685,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Missouri,4700,39790.0
17731,24.59,0.189,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Missouri,530,51140.0
17861,57.18,1.215,Computer and Information Systems Managers,Montana,560,118930.0
17909,50.65,0.138,Computer and Information Research Scientists,Montana,60,105360.0
17910,35.46,1.451,Computer Systems Analysts,Montana,670,73760.0
17912,44.3,1.563,Computer Programmers,Montana,720,92150.0
17913,35.56,1.845,"Software Developers, Applications",Montana,850,73960.0
17914,38.11,1.206,"Software Developers, Systems Software",Montana,560,79280.0
17915,22.36,0.927,Web Developers,Montana,430,46510.0
17917,29.51,1.38,Network and Computer Systems Administrators,Montana,640,61380.0
17918,34.54,0.522,Computer Network Architects,Montana,240,71830.0
17919,21.96,5.326,Computer User Support Specialists,Montana,2450,45670.0
17920,0.0,0.811,Computer Network Support Specialists,Montana,370,0.0
17921,31.26,1.388,"Computer Occupations, All Other",Montana,640,65020.0
17929,40.91,0.266,"Electronics Engineers, Except Computer",Montana,120,85100.0
18002,0.0,0.206,"Computer Science Teachers, Postsecondary",Montana,90,69340.0
18269,18.08,0.199,Computer Operators,Montana,90,37610.0
18275,13.48,0.322,"Office Machine Operators, Except Computer",Montana,150,28040.0
18331,19.77,0.682,"Computer, Automated Teller, and Office Machine Repairers",Montana,310,41120.0
18378,19.64,0.281,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Montana,130,40850.0
18463,58.19,2.083,Computer and Information Systems Managers,Nebraska,2020,121040.0
18515,41.74,0.038,Computer and Information Research Scientists,Nebraska,40,86810.0
18516,37.1,3.649,Computer Systems Analysts,Nebraska,3540,77170.0
18518,37.34,2.662,Computer Programmers,Nebraska,2580,77670.0
18519,41.76,4.735,"Software Developers, Applications",Nebraska,4590,86870.0
18520,43.64,2.753,"Software Developers, Systems Software",Nebraska,2670,90760.0
18521,28.13,0.878,Web Developers,Nebraska,850,58510.0
18523,37.05,3.236,Network and Computer Systems Administrators,Nebraska,3140,77070.0
18524,45.39,1.413,Computer Network Architects,Nebraska,1370,94420.0
18525,23.11,3.946,Computer User Support Specialists,Nebraska,3830,48060.0
18526,26.74,1.992,Computer Network Support Specialists,Nebraska,1930,55620.0
18527,40.17,2.505,"Computer Occupations, All Other",Nebraska,2430,83560.0
18539,40.37,0.0,Computer Hardware Engineers,Nebraska,0,83970.0
18541,40.39,0.287,"Electronics Engineers, Except Computer",Nebraska,280,84020.0
18614,0.0,0.197,"Computer Science Teachers, Postsecondary",Nebraska,190,85810.0
18885,20.18,0.706,Computer Operators,Nebraska,680,41980.0
18892,15.62,0.22,"Office Machine Operators, Except Computer",Nebraska,210,32490.0
18947,20.02,0.916,"Computer, Automated Teller, and Office Machine Repairers",Nebraska,890,41650.0
18999,17.39,0.993,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Nebraska,960,36170.0
19000,22.4,0.103,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Nebraska,100,46600.0
19109,64.16,0.0,Computer and Information Systems Managers,Nevada,0,133460.0
19162,49.72,0.036,Computer and Information Research Scientists,Nevada,50,103410.0
19163,39.34,1.393,Computer Systems Analysts,Nevada,1830,81830.0
19165,37.06,1.148,Computer Programmers,Nevada,1500,77080.0
19166,48.56,2.554,"Software Developers, Applications",Nevada,3350,101010.0
19167,44.95,0.732,"Software Developers, Systems Software",Nevada,960,93490.0
19168,28.64,0.544,Web Developers,Nevada,710,59580.0
19170,39.52,1.137,Network and Computer Systems Administrators,Nevada,1490,82200.0
19171,49.62,0.53,Computer Network Architects,Nevada,690,103200.0
19172,24.05,2.744,Computer User Support Specialists,Nevada,3600,50030.0
19173,26.94,0.77,Computer Network Support Specialists,Nevada,1010,56040.0
19174,33.38,2.07,"Computer Occupations, All Other",Nevada,2710,69440.0
19185,43.8,0.101,Computer Hardware Engineers,Nevada,130,91100.0
19187,46.1,0.645,"Electronics Engineers, Except Computer",Nevada,850,95880.0
19258,0.0,0.085,"Computer Science Teachers, Postsecondary",Nevada,110,67110.0
19551,23.5,0.124,Computer Operators,Nevada,160,48880.0
19557,17.91,0.265,"Office Machine Operators, Except Computer",Nevada,350,37260.0
19614,18.53,0.699,"Computer, Automated Teller, and Office Machine Repairers",Nevada,920,38540.0
19666,19.5,0.665,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Nevada,870,40560.0
19667,27.37,0.162,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Nevada,210,56930.0
19769,66.45,3.231,Computer and Information Systems Managers,New Hampshire,2100,138220.0
19820,42.12,3.218,Computer Systems Analysts,New Hampshire,2090,87600.0
19822,35.43,2.105,Computer Programmers,New Hampshire,1370,73700.0
19823,50.58,9.118,"Software Developers, Applications",New Hampshire,5930,105210.0
19824,59.04,2.022,"Software Developers, Systems Software",New Hampshire,1310,122810.0
19825,31.37,1.021,Web Developers,New Hampshire,660,65260.0
19827,38.54,3.067,Network and Computer Systems Administrators,New Hampshire,1990,80170.0
19828,53.75,0.498,Computer Network Architects,New Hampshire,320,111790.0
19829,25.76,4.504,Computer User Support Specialists,New Hampshire,2930,53570.0
19830,33.44,0.511,Computer Network Support Specialists,New Hampshire,330,69560.0
19831,43.0,0.828,"Computer Occupations, All Other",New Hampshire,540,89440.0
19842,0.0,0.412,Computer Hardware Engineers,New Hampshire,270,0.0
19844,52.86,0.746,"Electronics Engineers, Except Computer",New Hampshire,480,109950.0
19911,0.0,0.191,"Computer Science Teachers, Postsecondary",New Hampshire,120,101470.0
20178,20.7,0.411,Computer Operators,New Hampshire,270,43050.0
20185,15.05,0.601,"Office Machine Operators, Except Computer",New Hampshire,390,31310.0
20233,20.89,0.89,"Computer, Automated Teller, and Office Machine Repairers",New Hampshire,580,43450.0
20287,21.05,4.034,"Computer-Controlled Machine Tool Operators, Metal and Plastic",New Hampshire,2620,43790.0
20288,28.26,0.356,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",New Hampshire,230,58790.0
20394,84.54,3.47,Computer and Information Systems Managers,New Jersey,13900,175830.0
20449,60.21,0.32,Computer and Information Research Scientists,New Jersey,1280,125240.0
20450,50.84,3.287,Computer Systems Analysts,New Jersey,13170,105750.0
20452,44.38,2.728,Computer Programmers,New Jersey,10930,92320.0
20453,51.46,10.92,"Software Developers, Applications",New Jersey,43760,107040.0
20454,56.29,2.274,"Software Developers, Systems Software",New Jersey,9110,117080.0
20455,37.1,0.698,Web Developers,New Jersey,2800,77160.0
20457,48.18,2.957,Network and Computer Systems Administrators,New Jersey,11850,100220.0
20458,61.72,1.312,Computer Network Architects,New Jersey,5260,128370.0
20459,30.98,3.468,Computer User Support Specialists,New Jersey,13900,64440.0
20460,38.94,1.546,Computer Network Support Specialists,New Jersey,6200,81000.0
20461,46.97,2.364,"Computer Occupations, All Other",New Jersey,9470,97690.0
20475,51.82,0.2,Computer Hardware Engineers,New Jersey,800,107790.0
20477,50.7,0.8,"Electronics Engineers, Except Computer",New Jersey,3210,105450.0
20563,0.0,0.345,"Computer Science Teachers, Postsecondary",New Jersey,1380,103370.0
20874,22.19,0.558,Computer Operators,New Jersey,2240,46140.0
20881,15.65,0.763,"Office Machine Operators, Except Computer",New Jersey,3060,32550.0
20939,22.47,0.932,"Computer, Automated Teller, and Office Machine Repairers",New Jersey,3740,46750.0
21002,21.48,0.774,"Computer-Controlled Machine Tool Operators, Metal and Plastic",New Jersey,3100,44680.0
21003,30.4,0.13,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",New Jersey,520,63230.0
21134,52.19,1.486,Computer and Information Systems Managers,New Mexico,1190,108560.0
21188,63.56,0.938,Computer and Information Research Scientists,New Mexico,750,132210.0
21189,39.18,2.127,Computer Systems Analysts,New Mexico,1700,81500.0
21191,38.39,0.551,Computer Programmers,New Mexico,440,79850.0
21192,38.09,1.501,"Software Developers, Applications",New Mexico,1200,79230.0
21193,47.39,2.055,"Software Developers, Systems Software",New Mexico,1650,98580.0
21194,27.37,0.332,Web Developers,New Mexico,270,56930.0
21196,35.45,2.193,Network and Computer Systems Administrators,New Mexico,1760,73740.0
21197,53.36,0.607,Computer Network Architects,New Mexico,490,110990.0
21198,20.2,3.053,Computer User Support Specialists,New Mexico,2450,42020.0
21199,29.15,1.467,Computer Network Support Specialists,New Mexico,1180,60640.0
21200,37.08,1.401,"Computer Occupations, All Other",New Mexico,1120,77120.0
21211,53.06,1.344,"Electronics Engineers, Except Computer",New Mexico,1080,110370.0
21292,0.0,0.164,"Computer Science Teachers, Postsecondary",New Mexico,130,66670.0
21561,19.25,0.332,Computer Operators,New Mexico,270,40030.0
21568,14.68,0.23,"Office Machine Operators, Except Computer",New Mexico,180,30530.0
21629,17.05,0.364,"Computer, Automated Teller, and Office Machine Repairers",New Mexico,290,35460.0
21678,17.19,0.145,"Computer-Controlled Machine Tool Operators, Metal and Plastic",New Mexico,120,35750.0
21771,90.27,2.881,Computer and Information Systems Managers,New York,26520,187770.0
21826,65.64,0.13,Computer and Information Research Scientists,New York,1200,136540.0
21827,49.78,4.615,Computer Systems Analysts,New York,42500,103550.0
21829,42.92,1.784,Computer Programmers,New York,16420,89260.0
21830,55.55,5.343,"Software Developers, Applications",New York,49190,115530.0
21831,55.53,2.249,"Software Developers, Systems Software",New York,20710,115490.0
21832,39.6,1.292,Web Developers,New York,11900,82360.0
21834,44.86,2.746,Network and Computer Systems Administrators,New York,25290,93310.0
21835,52.5,0.965,Computer Network Architects,New York,8890,109200.0
21836,28.06,4.757,Computer User Support Specialists,New York,43800,58360.0
21837,36.39,1.483,Computer Network Support Specialists,New York,13650,75690.0
21838,42.58,0.0,"Computer Occupations, All Other",New York,0,88560.0
21852,54.92,0.141,Computer Hardware Engineers,New York,1300,114230.0
21854,46.92,0.342,"Electronics Engineers, Except Computer",New York,3150,97590.0
21943,0.0,0.331,"Computer Science Teachers, Postsecondary",New York,3050,100920.0
22266,21.29,0.425,Computer Operators,New York,3920,44290.0
22273,17.12,0.422,"Office Machine Operators, Except Computer",New York,3880,35610.0
22341,20.88,0.662,"Computer, Automated Teller, and Office Machine Repairers",New York,6100,43440.0
22407,18.35,0.528,"Computer-Controlled Machine Tool Operators, Metal and Plastic",New York,4860,38180.0
22408,26.36,0.106,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",New York,980,54820.0
22541,67.74,2.876,Computer and Information Systems Managers,North Carolina,12360,140900.0
22595,49.86,0.026,Computer and Information Research Scientists,North Carolina,110,103710.0
22596,44.3,5.816,Computer Systems Analysts,North Carolina,25000,92140.0
22598,43.39,1.586,Computer Programmers,North Carolina,6820,90250.0
22599,48.56,6.148,"Software Developers, Applications",North Carolina,26430,101000.0
22600,51.42,1.877,"Software Developers, Systems Software",North Carolina,8070,106940.0
22601,35.12,0.821,Web Developers,North Carolina,3530,73060.0
22603,40.7,2.688,Network and Computer Systems Administrators,North Carolina,11550,84660.0
22604,51.67,1.111,Computer Network Architects,North Carolina,4780,107470.0
22605,25.64,5.048,Computer User Support Specialists,North Carolina,21700,53330.0
22606,31.51,1.166,Computer Network Support Specialists,North Carolina,5010,65540.0
22607,40.46,0.0,"Computer Occupations, All Other",North Carolina,0,84160.0
22620,49.53,0.403,Computer Hardware Engineers,North Carolina,1730,103030.0
22622,48.94,0.752,"Electronics Engineers, Except Computer",North Carolina,3230,101790.0
22707,0.0,0.395,"Computer Science Teachers, Postsecondary",North Carolina,1700,73580.0
23019,20.35,0.213,Computer Operators,North Carolina,910,42330.0
23026,14.37,0.455,"Office Machine Operators, Except Computer",North Carolina,1960,29900.0
23089,18.93,0.786,"Computer, Automated Teller, and Office Machine Repairers",North Carolina,3380,39370.0
23152,18.16,1.118,"Computer-Controlled Machine Tool Operators, Metal and Plastic",North Carolina,4800,37760.0
23153,22.17,0.163,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",North Carolina,700,46100.0
23284,57.58,1.195,Computer and Information Systems Managers,North Dakota,500,119770.0
23335,34.84,1.612,Computer Systems Analysts,North Dakota,670,72470.0
23337,32.25,1.609,Computer Programmers,North Dakota,670,67080.0
23338,35.73,2.285,"Software Developers, Applications",North Dakota,950,74310.0
23339,32.45,1.405,"Software Developers, Systems Software",North Dakota,590,67500.0
23340,29.37,0.613,Web Developers,North Dakota,260,61090.0
23342,32.57,1.486,Network and Computer Systems Administrators,North Dakota,620,67750.0
23343,41.87,0.431,Computer Network Architects,North Dakota,180,87100.0
23344,26.28,3.717,Computer User Support Specialists,North Dakota,1550,54660.0
23345,28.47,1.483,Computer Network Support Specialists,North Dakota,620,59220.0
23346,33.76,1.935,"Computer Occupations, All Other",North Dakota,810,70220.0
23355,46.94,0.072,Computer Hardware Engineers,North Dakota,30,97630.0
23357,36.49,0.308,"Electronics Engineers, Except Computer",North Dakota,130,75890.0
23427,0.0,0.306,"Computer Science Teachers, Postsecondary",North Dakota,130,90460.0
23686,22.57,0.204,Computer Operators,North Dakota,80,46940.0
23692,14.58,0.374,"Office Machine Operators, Except Computer",North Dakota,160,30320.0
23745,21.02,0.749,"Computer, Automated Teller, and Office Machine Repairers",North Dakota,310,43710.0
23798,23.84,0.278,"Computer-Controlled Machine Tool Operators, Metal and Plastic",North Dakota,120,49590.0
23883,64.36,2.626,Computer and Information Systems Managers,Ohio,14110,133870.0
23937,53.66,0.042,Computer and Information Research Scientists,Ohio,220,111610.0
23938,43.3,5.395,Computer Systems Analysts,Ohio,28970,90070.0
23940,33.86,0.879,Computer Programmers,Ohio,4720,70430.0
23941,44.83,6.704,"Software Developers, Applications",Ohio,36000,93250.0
23942,46.37,0.974,"Software Developers, Systems Software",Ohio,5230,96450.0
23943,29.31,0.667,Web Developers,Ohio,3580,60960.0
23945,37.73,2.484,Network and Computer Systems Administrators,Ohio,13340,78470.0
23946,45.8,1.077,Computer Network Architects,Ohio,5780,95260.0
23947,23.13,3.734,Computer User Support Specialists,Ohio,20050,48100.0
23948,29.37,1.631,Computer Network Support Specialists,Ohio,8760,61100.0
23949,37.71,1.472,"Computer Occupations, All Other",Ohio,7900,78430.0
23964,48.37,0.17,Computer Hardware Engineers,Ohio,910,100610.0
23966,44.39,0.651,"Electronics Engineers, Except Computer",Ohio,3490,92340.0
24055,0.0,0.257,"Computer Science Teachers, Postsecondary",Ohio,1380,111090.0
24376,19.62,0.221,Computer Operators,Ohio,1190,40800.0
24383,14.23,0.57,"Office Machine Operators, Except Computer",Ohio,3060,29590.0
24450,17.81,0.627,"Computer, Automated Teller, and Office Machine Repairers",Ohio,3370,37050.0
24514,19.76,2.455,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Ohio,13190,41110.0
24515,24.88,0.343,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Ohio,1840,51750.0
24653,52.26,2.128,Computer and Information Systems Managers,Oklahoma,3350,108700.0
24708,41.13,0.318,Computer and Information Research Scientists,Oklahoma,500,85550.0
24709,38.18,1.826,Computer Systems Analysts,Oklahoma,2870,79410.0
24711,38.08,1.208,Computer Programmers,Oklahoma,1900,79200.0
24712,42.29,2.575,"Software Developers, Applications",Oklahoma,4050,87960.0
24713,38.02,1.538,"Software Developers, Systems Software",Oklahoma,2420,79070.0
24714,27.86,0.459,Web Developers,Oklahoma,720,57950.0
24716,34.81,1.808,Network and Computer Systems Administrators,Oklahoma,2840,72410.0
24717,40.21,0.543,Computer Network Architects,Oklahoma,850,83630.0
24718,22.1,4.656,Computer User Support Specialists,Oklahoma,7320,45960.0
24719,30.73,1.735,Computer Network Support Specialists,Oklahoma,2730,63930.0
24720,37.02,1.502,"Computer Occupations, All Other",Oklahoma,2360,77000.0
24731,47.22,0.148,Computer Hardware Engineers,Oklahoma,230,98210.0
24733,42.47,1.273,"Electronics Engineers, Except Computer",Oklahoma,2000,88330.0
24811,0.0,0.183,"Computer Science Teachers, Postsecondary",Oklahoma,290,67790.0
25113,18.81,0.213,Computer Operators,Oklahoma,340,39120.0
25120,13.84,0.472,"Office Machine Operators, Except Computer",Oklahoma,740,28790.0
25184,17.26,0.609,"Computer, Automated Teller, and Office Machine Repairers",Oklahoma,960,35900.0
25243,18.77,1.528,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Oklahoma,2400,39050.0
25244,25.33,0.149,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Oklahoma,230,52680.0
25362,62.97,2.93,Computer and Information Systems Managers,Oregon,5360,130980.0
25416,0.0,0.152,Computer and Information Research Scientists,Oregon,280,0.0
25417,43.55,2.767,Computer Systems Analysts,Oregon,5070,90590.0
25419,38.89,1.685,Computer Programmers,Oregon,3080,80900.0
25420,49.43,8.499,"Software Developers, Applications",Oregon,15560,102820.0
25421,51.81,1.276,"Software Developers, Systems Software",Oregon,2340,107770.0
25422,33.15,1.222,Web Developers,Oregon,2240,68960.0
25424,39.12,1.88,Network and Computer Systems Administrators,Oregon,3440,81370.0
25425,58.66,0.587,Computer Network Architects,Oregon,1080,122020.0
25426,25.3,4.194,Computer User Support Specialists,Oregon,7680,52620.0
25427,29.47,0.938,Computer Network Support Specialists,Oregon,1720,61300.0
25428,38.31,3.683,"Computer Occupations, All Other",Oregon,6740,79690.0
25442,49.81,1.344,"Electronics Engineers, Except Computer",Oregon,2460,103610.0
25524,0.0,0.152,"Computer Science Teachers, Postsecondary",Oregon,280,94300.0
25836,21.43,0.067,Computer Operators,Oregon,120,44580.0
25843,16.61,0.622,"Office Machine Operators, Except Computer",Oregon,1140,34540.0
25908,17.13,0.562,"Computer, Automated Teller, and Office Machine Repairers",Oregon,1030,35630.0
25969,19.64,1.113,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Oregon,2040,40860.0
25970,28.83,0.336,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Oregon,620,59960.0
26101,69.99,2.215,Computer and Information Systems Managers,Pennsylvania,12810,145590.0
